ID,MatchNumber,Team1,Team2,WinningTeam,Player_of_Match
335982,,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,BB McCullum
335983,,Chennai Super Kings,Punjab Kings,Chennai Super Kings,MEK Hussey
335984,,Rajasthan Royals,Delhi Capitals,Delhi Capitals,MF Maharoof
335985,,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,MV Boucher
335986,,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,DJ Hussey
335987,,Punjab Kings,Rajasthan Royals,Rajasthan Royals,SR Watson
335988,,Deccan Chargers,Delhi Capitals,Delhi Capitals,V Sehwag
335989,,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,ML Hayden
335990,,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,YK Pathan
335991,,Punjab Kings,Mumbai Indians,Punjab Kings,KC Sangakkara
335992,,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,SR Watson
335993,,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,JDP Oram
335994,,Mumbai Indians,Deccan Chargers,Deccan Chargers,AC Gilchrist
335995,,Delhi Capitals,Punjab Kings,Punjab Kings,SM Katich
335996,,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,MS Dhoni
335997,,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,ST Jayasuriya
335998,,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,GD McGrath
335999,,Deccan Chargers,Punjab Kings,Punjab Kings,SE Marsh
336000,,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,SA Asnodkar
336001,,Chennai Super Kings,Delhi Capitals,Delhi Capitals,V Sehwag
336002,,Deccan Chargers,Royal Challengers Bengaluru,Royal Challengers Bengaluru,R Vinay Kumar
336003,,Punjab Kings,Kolkata Knight Riders,Punjab Kings,IK Pathan
336004,,Mumbai Indians,Delhi Capitals,Mumbai Indians,SM Pollock
336005,,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Sohail Tanvir
336006,,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,S Sreesanth
336007,,Chennai Super Kings,Deccan Chargers,Deccan Chargers,AC Gilchrist
336008,,Rajasthan Royals,Mumbai Indians,Mumbai Indians,A Nehra
336009,,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,MS Dhoni
336010,,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,SC Ganguly
