ID,MatchNumber,BattingTeam,player_of_match,WinningTeam,Team1,Team2
335982,1,Kolkata Knight Riders,BB McCullum,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
335983,2,Chennai Super Kings,MEK Hussey,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
335984,3,Rajasthan Royals,MF Maharoof,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals
335985,5,Mumbai Indians,MV Boucher,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
335986,4,Deccan Chargers,DJ Hussey,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers
335987,6,Kings XI Punjab,SR Watson,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab
335988,7,Deccan Chargers,V Sehwag,Delhi Daredevils,Deccan Chargers,Deccan Chargers
335989,8,Chennai Super Kings,ML Hayden,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
335990,9,Deccan Chargers,YK Pathan,Rajasthan Royals,Deccan Chargers,Deccan Chargers
335991,10,Kings XI Punjab,KC Sangakkara,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
335992,12,Royal Challengers Bangalore,SR Watson,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
335993,11,Kolkata Knight Riders,JDP Oram,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
335994,14,Mumbai Indians,AC Gilchrist,Deccan Chargers,Mumbai Indians,Mumbai Indians
335995,13,Delhi Daredevils,SM Katich,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils
335996,15,Chennai Super Kings,MS Dhoni,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
335997,16,Kolkata Knight Riders,ST Jayasuriya,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
335998,17,Delhi Daredevils,GD McGrath,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils
335999,19,Deccan Chargers,SE Marsh,Kings XI Punjab,Deccan Chargers,Deccan Chargers
336000,18,Rajasthan Royals,SA Asnodkar,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
336001,20,Chennai Super Kings,V Sehwag,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings
336003,22,Kings XI Punjab,IK Pathan,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
336034,21,Royal Challengers Bangalore,P Kumar,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
336004,23,Mumbai Indians,SM Pollock,Mumbai Indians,Mumbai Indians,Mumbai Indians
336005,24,Chennai Super Kings,Sohail Tanvir,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
336006,25,Royal Challengers Bangalore,S Sreesanth,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore
336007,26,Chennai Super Kings,AC Gilchrist,Deccan Chargers,Chennai Super Kings,Chennai Super Kings
336008,27,Rajasthan Royals,A Nehra,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
336009,28,Delhi Daredevils,MS Dhoni,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils
336010,29,Kolkata Knight Riders,SC Ganguly,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
336011,30,Deccan Chargers,YK Pathan,Rajasthan Royals,Deccan Chargers,Deccan Chargers
336013,31,Chennai Super Kings,L Balaji,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
336014,32,Kolkata Knight Riders,SC Ganguly,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
336015,33,Delhi Daredevils,SR Watson,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils
336016,34,Royal Challengers Bangalore,SE Marsh,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore
336017,35,Kolkata Knight Riders,Shoaib Akhtar,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
336018,36,Chennai Super Kings,ST Jayasuriya,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
336020,37,Delhi Daredevils,A Mishra,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils
